account_id;customer_document_id;company_id;industry;measure_name;document_net_value_total;net_price_per_unit;quantity;position_item_quantity;net_value_total;product_id;service_id;supply_product_name;drafts_supply_product_name;supply_service_name;drafts_supply_service_name;drafts_description;supply_product_description;supply_product_category;supply_catalog_name;ean;supply_product_manufacturer;unit_type;document_created_at;record_type;product_name;is_pv_module;Reasoning;Confidence
0013V00000irocuQAA;9797288;54744;Elektrotechnik;Energietechnik;18.380,81;77;52;;4.004;GNkWvNHa0AA;;Photovoltaikmodul;Photovoltaikmodul;;;<p>Trina Vertex S+ 450W</p><p>- Modulleistung: 450Wp</p><p>- Solarzellen: N-Typ i-TOPCon Modul </p><p>- Modulmaße: 1762x1134x30mm </p><p>- Doppelglas </p><p>- 5400Pa Schneelast </p><p>- 4000Pa Windlast </p><p>- 25 Jahre Produktgarantie </p><p>- 30 Jahre Leistungsgaranti </p><p>- N-Typ Technologie mit 1% Degradation im ersten Jahr und 0,4% in den Jahren 2-30 </p>;<p>Trina Vertex S+ 450W</p><p>- Modulleistung: 450Wp</p><p>- Solarzellen: N-Typ i-TOPCon Modul </p><p>- Modulmaße: 1762x1134x30mm </p><p>- Doppelglas </p><p>- 5400Pa Schneelast </p><p>- 4000Pa Windlast </p><p>- 25 Jahre Produktgarantie </p><p>- 30 Jahre Leistungsgaranti </p><p>- N-Typ Technologie mit 1% Degradation im ersten Jahr und 0,4% in den Jahren 2-30 </p>;;;;;Stk;März 10, 2025, 08:15;product;Photovoltaikmodul;1;Einzelmodul Trina Vertex S+ 450Wp, N‑Type i‑TOPCon Technologie, Doppelglas — klare Modulbeschreibung (Wp angegeben).;0.99
001Tq000004DdUJIA0;13199054;59093;Photovoltaik;Photovoltaik;13.334,81;69,78;10;;697,8;GBee9njogAA;;Hochleistungsmodule 445W Trina Vertex S+ Glas/Glas Black Frame;Hochleistungsmodule 445W Trina Vertex S+ Glas/Glas Black Frame;;;<p><span>• Nennleistung pro Modul: 445 Wp</span><br /></p><div><div>• Rahmenfarbe: Schwarz</div><div>• Modulabmessung: 1762 x 1134 x 30 mm</div><div>• 30 Jahre lineare Leistungsgarantie</div><div>• 25 Jahre Produktgarantie</div></div>;<p><span>• Nennleistung pro Modul: 445 Wp</span><br /></p><div><div>• Rahmenfarbe: Schwarz</div><div>• Modulabmessung: 1762 x 1134 x 30 mm</div><div>• 30 Jahre lineare Leistungsgarantie</div><div>• 25 Jahre Produktgarantie</div></div>;;;;;Stk;Oktober 9, 2025, 15:24;product;Hochleistungsmodule 445W Trina Vertex S+ Glas/Glas Black Frame;1;Trina Vertex S+ 445Wp Glas/Glas Modul (Einzelmodul, Wp angegeben, Produkt- und Leistungsgarantien).;0.99
001Tq000007fsTTIAY;12029532;63014;Photovoltaik;Photovoltaik;16.960,81;139,31;12;;1.671,72;GOLkEgA9EAA;;Glas-Glas Solarmodule 460W Full Black;Glas-Glas Solarmodule 460W Full Black;;;"<div><div><br class=""Apple-interchange-newline"" />Hersteller: Aiko</div></div><div><div><br /></div></div><div><div>Garantie:</div><ul><li>30 Jahre Produktgarantie</li><li>30 Jahre Leistungsgarantie (min. 88.85%)</li></ul></div><div><div>Technische Daten:</div><ul><li>Leistung: 460 Watt</li><li>n-typ ABC Technologie</li><li>Modulwirkungsgrad: 23,1%</li></ul></div><div></div><div><div><div><div>Abmessungen &amp; Gewicht:</div></div></div><div><div><ul><li>Länge: 1757mm</li><li>Breite: 1134mm</li><li>Rahmenhöhe: 30mm</li><li>Gewicht: 24,5 Kg</li><li>Farbe: Schwarz</li></ul></div></div></div>";"<div><div><br class=""Apple-interchange-newline"" />Hersteller: Aiko</div></div><div><div><br /></div></div><div><div>Garantie:</div><ul><li>25 Jahre Produktgarantie</li><li>30 Jahre Leistungsgarantie (min. 88.85%)</li></ul></div><div><div>Technische Daten:</div><ul><li>Leistung: 460 Watt</li><li>n-typ ABC Technologie</li><li>Modulwirkungsgrad: 23,1%</li></ul></div><div></div><div><div><div><div>Abmessungen &amp; Gewicht:</div></div></div><div><div><ul><li>Länge: 1757mm</li><li>Breite: 1134mm</li><li>Rahmenhöhe: 30mm</li><li>Gewicht: 24,5 Kg</li><li>Farbe: Schwarz</li></ul></div></div></div>";Module;;;Aiko;Stk;Juli 30, 2025, 12:18;product;Glas-Glas Solarmodule 460W Full Black;1;Aiko Glas‑Glas Solarmodul 460W, n‑Typ ABC Technologie, Full‑Black — eindeutig PV‑Modul (Wp angegeben).;0.99
0013V00000awKDpQAM;12205737;43169;Photovoltaik;Photovoltaik mit Speicher;19.919,4;105;13;;1.365;GiyxNR3WcAA;;ODER: Solar Fabrik 450W S4 Trend Full Black, Doppelglas, bifazial;Solar Fabrik 450W S4 Trend Full Black, Doppelglas, bifazial;;;"<div><div><b>Solar Fabrik Mono S4 Halfcut, Trend Full Black Glas/Glas</b></div><p>Die Solar Fabrik Solarmodule bestechen durch hohe Effizienz, Sicherheit und Zuverlässigkeit. Die Produktgarantie und die Leistungsgarantie belaufen sich auf großzügige 30 Jahre. Sie sind somit im hohen Bereich angesiedelt. </p><p>Die höhere Leistung je Modul kommt durch größere Zellen zustande und führt in der Anwendung auch zu etwas größeren Modulmaßen. </p></div><div><div><b>Modulhersteller Solar Fabrik</b></div><p>Das familiengeführte Unternehmen aus Deutschland besticht durch langjährige Erfahrung im Solarmarkt, Sicherheit und Zuverlässigkeit. Die optisch ansprechenden Module mit deutscher Garantie befinden sich im gehobenen Leistungsbereich.</p></div><div><br class=""Apple-interchange-newline"" /></div>";"<div><div><b>Solar Fabrik Mono S4 Halfcut, Trend Full Black Glas/Glas</b></div><p>Die Solar Fabrik Solarmodule bestechen durch hohe Effizienz, Sicherheit und Zuverlässigkeit. Die Produktgarantie und die Leistungsgarantie belaufen sich auf großzügige 30 Jahre. Sie sind somit im hohen Bereich angesiedelt. </p><p>Die höhere Leistung je Modul kommt durch größere Zellen zustande und führt in der Anwendung auch zu etwas größeren Modulmaßen. </p></div><div><div><b>Modulhersteller Solar Fabrik</b></div><p>Das familiengeführte Unternehmen aus Deutschland besticht durch langjährige Erfahrung im Solarmarkt, Sicherheit und Zuverlässigkeit. Die optisch ansprechenden Module mit deutscher Garantie befinden sich im gehobenen Leistungsbereich.</p></div><div><br class=""Apple-interchange-newline"" /></div>";Module;;;Solar Fabrik;Stk;August 11, 2025, 14:35;product;ODER: Solar Fabrik 450W S4 Trend Full Black, Doppelglas, bifazial;1;Solar Fabrik Modul 450W, Glas/Glas, bifazial, Full Black — Einzelmodul mit Wp‑Angabe und Modultechnologie.;0.99
001Tq00000AgtK6IAJ;9507309;65227;Photovoltaik;Photovoltaik mit Speicher;12.829,24;97,4;17;;1.655,8;GS77Ch2usAE;;VIESSMANN Vitovolt 300-DG M450 AO blackframe;Vitovolt 300-DG M450 AO blackframe;;;"<div>
<p>Hochwertiges PV-Modul mit modernster TOPCon-Technologie in Glas/Glas-Bauweise</p><div><ul><li>Leistung 450W</li><li>100% Plussortierung +0 bis +5W</li><li>25 Jahre Produktgarantie durch Hersteller</li><li>30 Jahre Leistungsgarantie durch Hersteller</li></ul><p>Abmaße in mm: 1762x1134x30</p></div></div>";"
<p>Hochwertiges PV-Modul mit modernster TOPCon-Technologie in Glas/Glas-Bauweise</p><div><ul><li>Leistung 450W</li><li>100% Plussortierung +0 bis +5W</li><li>25 Jahre Produktgarantie durch Hersteller</li><li>30 Jahre Leistungsgarantie durch Hersteller</li></ul><p>Abmaße in mm: 1762x1134x30<br />Gewicht: 21,5 kg</p><p><br /></p></div>";;;4067764443838.0;;Stk;Februar 19, 2025, 08:35;product;VIESSMANN Vitovolt 300-DG M450 AO blackframe;1;PV‑Modul Vitovolt 450W, TOPCon Technologie, Glas/Glas Bauweise — eindeutiges Photovoltaikmodul (Wp angegeben).;0.99
0013V00000e5vxMQAQ;10894699;47604;Photovoltaik;Photovoltaik Commercial;19.720;120;20;;2.400;FrqKvr__0AA;;Modul 455 W: Jolywood 455 Wattpeak;450 W Bifazial Glas/Glas, Fullblack: JW-HD108N-450W ;;;<div><p>- 25 Produkt- und 30 Jahre Leistungsgarantie</p><p>- Leistung: 450 Watt</p></div><div><p>- Bypass-Dioden</p><p>- Monokritsalline Fullblack Solarmodule</p><p>- Bifazial</p></div>;<div><p>Produktvorteile:</p></div><div><ul><li>Doppelglas Full Black</li><li>Überragende Leistung: Das Jolywood Modul optimiert die Energiegewinnung durch seine bifaziale Bauweise, die es ermöglicht, Licht von beiden Seiten zu nutzen und somit den Energieertrag signifikant zu steigern.</li><li>Langlebigkeit und Zuverlässigkeit: Entwickelt, um über 30 Jahre hinweg eine minimale Degradation zu gewährleisten, bietet dieses Modul eine zuverlässige und dauerhafte Energielösung.</li><li>25 Jahre Produktgarantie</li></ul></div><div><div>Technische Spezifikationen:</div><ul><li>Energieeffizienz: 22,52%</li><li>Abmessungen: 1762mm x 1134mm x 30mm</li><li>Gewicht: 24.6 kg</li></ul></div><div><ul><li>Maximale Leistung: 455 Watt</li><li>Bypass-Dioden</li><li>Bifazial</li><li>Monokritsalline Fullblack Solarmodule</li></ul><p><br /></p></div><div><p><br /></p></div>;Solarmodul;;;;Stk;Mai 20, 2025, 10:27;product;Modul 455 W: Jolywood 455 Wattpeak;1;Jolywood Doppelglas Full Black, bifazial, 455Wp — klar als Solarmodul mit Wp‑Angabe und technischen Daten beschrieben.;0.99
0013V00000e4oQyQAI;11042339;46216;Photovoltaik;Projekt;14.450;64;34;;2.176;FsycHO8j8AA;;Aiko Neostar 2S+ A-MAH54Db 460W;Trina Modul Vertex S+ N-Type - 440W;;;"<div><span style=""font-size:10px;"">Das Photovoltaik Modul Trina 440 W aus derSerie&nbsp;Vertex S+&nbsp;besteht aus monokristallinen Zellen mit einer Siliziumwafergröße&nbsp;210 mm in i-TOPcon N-Zelltechnologie. Vertex S+ verfügt über mehrere innovative Konstruktionsmerkmale, um eine hohe Ausgangsleistung zu erzielen.Der ausgezeichnete Temperaturkoeffizient und die niedrige Strahlungseffizienz bringen mehr Leistung.&nbsp;Darüber hinaus erreicht der Wirkungsgrad der Module Vertex S+ dank der hochdichten Verbindungen bis zu 21,8%.</span></div><div><br></div><div><font><span style=""font-size:10px;""><b>Technische Daten:&nbsp;</b></span></font></div><div><ul><li><span style=""font-size:10px;"">30 Jahre Garantie auf die Ausgangsleistung</span></li><li><span style=""font-size:10px;"">25 Jahre Garantie auf Material und Ausführung</span></li><li><span style=""font-size:10px;"">das Modul ist komplett schwarz gehalten (Full-Black Modul)</span></li><li><span style=""font-size:10px;"">Glas auf der Vorder- und Rückseite des Photovoltaik Moduls (Glas-Glas Modul)</span></li><li><span style=""font-size:10px;"">Geringere Installationskosten durch höhere Leistung und Effizienz</span></li><li><span style=""font-size:10px;"">Hoher und stabiler Wirkungsgrad von bis zu&nbsp;21.8%&nbsp;dank innovativer Fertigungstechnologie</span></li><li><span style=""font-size:10px;"">Positive Leistungstoleranz bis +5 W</span></li><li><span style=""font-size:10px;"">minimierte Mikrorisse dank innovativer, zerstörungsfreier Schneidetechnik</span></li><li><span style=""font-size:10px;"">Großflächige Zellen auf Siliziumwafern 210 mm</span></li><li><span style=""font-size:10px;"">Multi-Busbar-Technologie bietet einen besseren Lichteinfang-Effekt</span></li><li><span style=""font-size:10px;"">Hervorragende Leistung auch bei geringer Sonneneinstrahlung</span></li><li><span style=""font-size:10px;"">Mechanische Leistung bis zu 5400 Pa bei Schneelast und 4000 Pa bei Windlast</span></li></ul></div><div><font><span style=""font-size:10px;""><b><br></b></span></font></div>";"<div><span style=""font-size:10px;""><br /></span></div><div>
<span style=""font-size:10px;"">Entdecke die Spitze der Solartechnologie mit dem Aiko Solar
Neostar 2S+ 460W, auch bekannt als AIKO-A-MAH54Db,
einem Premium-Solarmodul, das Effizienz mit Eleganz
vereint. Als führender Hersteller in der Solarbranche
revolutioniert Aiko Solar die Photovoltaik mit seiner
innovativen All-Back-Contact (ABC) Technologie. Das AIKOA-MAH54Db PV Modul sticht mit einem außergewöhnlichen
Wirkungsgrad von 22,8 % und seinem vollschwarzen Design
heraus, das jede Anlage optisch aufwertet und maximale
Energieerträge liefert.</span></div><div><br /></div><div><font><span style=""font-size:10px;""><b>Technische Daten: </b></span></font></div><div><ul><li><span style=""font-size:10px;"">30 Jahre Leistungsgarantie (linear)</span></li><li><span style=""font-size:10px;"">25 Jahre Produktgarantie</span></li><li><span style=""font-size:10px;"">das Modul ist komplett schwarz gehalten (Full-Black Modul)</span></li><li><span style=""font-size:10px;"">Glas auf der Vorder- und Rückseite des Photovoltaik Moduls (Glas-Glas Modul)</span></li><li><span style=""font-size:10px;"">Geringere Installationskosten durch höhere Leistung und Effizienz</span></li><li><span style=""font-size:10px;"">Hoher und stabiler Wirkungsgrad von bis zu 23,1% dank innovativer Fertigungstechnologie</span></li><li><span style=""font-size:10px;"">Partielle Verschattungsoptimierung</span></li><li><span style=""font-size:10px;"">Geringere Zelltemperatur bei Verschattung (dadurch nicht sehr hoher Verschleiß)</span></li><li><span style=""font-size:10px;"">Keine sichtbaren Kontakte auf der Zellvorderseite; dieses steigert die Effizienz und ist ästhetischer</span></li></ul></div>";Solarmodul;;;Trina;Stk;Mai 28, 2025, 12:17;product;Aiko Neostar 2S+ A-MAH54Db 460W;1;Aiko/Trina Modul (Full‑Black, Glas‑Glas, 460W, ABC/All‑Back‑Contact Technologie) — eindeutiges PV‑Modul.;0.99
0013V00000UhYBbQAN;9725069;33366;Elektrotechnik;Projekt;15.424,3;193;10;;1.930;Fwumo240IAA;;PV Module TRN. 440 Wp-Full Black,Bifacial, Glas Glas (inkl. Montage);PV Module 435 Wp NEG9 Vertex S Black Frame (Glas-Glas) ;;;"<ul><li><span style=""font-size:8px;"">Modultyp:</span><span style=""font-size:8px;"">&nbsp;Vertex S+ Glas-Glas black frame</span></li><li><span style=""font-size:8px;"">Brandschutz</span></li><li><span style=""font-size:8px;"">Leistung: 435 Wp</span></li><li><span style=""font-size:8px;"">Hervorragende Optik -&nbsp;</span><span style=""font-size:8px;"">Entwickelt mit Fokus auf Ästhetik</span><span style=""font-size:8px;"">,&nbsp;</span><span style=""font-size:8px;"">Hauchdünne, praktisch unsichtbare Leiterbahnen • Homogene Zellfarbe durch maschinelle Sortierung</span></li><li><span style=""font-size:8px;"">Kleine Maße, große Leistung -&nbsp;</span><span style=""font-size:8px;"">Bis zu 435 W Spitzenleistung, 21,3 % Modulwirkungsgrad mit High-Density Zellverbindungstechnologie,&nbsp;</span><span style=""font-size:8px;"">Multi-Busbar-Technologie für mehr Absorption, geringeren Serien- widerstand, verbesserte Stromableitung und erhöhte Zuverlässigkeit,&nbsp;</span><span style=""font-size:8px;"">Exzellentes Schwachlichtverhalten (IAM) durch optimierte Zellprozesse und Materialien</span></li><li><span style=""font-size:8px;"">Hohe Zuverlässigkeit -&nbsp;</span><span style=""font-size:8px;"">6.000 Pa Schneelast (Testlast) • 4.000 Pa Windlast (Testlast)</span></li><li><span style=""font-size:8px;"">25 Jahre lineare Leistungsgarantie</span><span style=""font-size: 8px;"">&nbsp;</span></li></ul>";"<ul><li><span style=""font-size:8px;"">Modultyp:</span><span style=""font-size:8px;""> Vertex S+ Glas-Glas Full Black </span></li><li><span style=""font-size:8px;"">Brandschutz</span></li><li><span style=""font-size:8px;"">Leistung: 440 Wp</span></li><li><span style=""font-size:8px;"">Hervorragende Optik - </span><span style=""font-size:8px;"">Entwickelt mit Fokus auf Ästhetik</span><span style=""font-size:8px;"">, </span><span style=""font-size:8px;"">Hauchdünne, praktisch unsichtbare Leiterbahnen • Homogene Zellfarbe durch maschinelle Sortierung</span></li><li><span style=""font-size:8px;"">Kleine Maße, große Leistung - </span><span style=""font-size:8px;"">Bis zu 440 W Spitzenleistung, 21,3 % Modulwirkungsgrad mit High-Density Zellverbindungstechnologie, </span><span style=""font-size:8px;"">Multi-Busbar-Technologie für mehr Absorption, geringeren Serien- widerstand, verbesserte Stromableitung und erhöhte Zuverlässigkeit, </span><span style=""font-size:8px;"">Exzellentes Schwachlichtverhalten (IAM) durch optimierte Zellprozesse und Materialien</span></li><li><span style=""font-size:8px;"">Hohe Zuverlässigkeit - </span><span style=""font-size:8px;"">6.000 Pa Schneelast (Testlast) • 4.000 Pa Windlast (Testlast)</span></li><li><span style=""font-size:8px;"">25 Jahre Produktgarantie auf die Verarbeitung und 30 Jahre Leistungsgarantie</span></li></ul>";;;;;Stk;März 4, 2025, 19:46;product;PV Module TRN. 440 Wp-Full Black,Bifacial, Glas Glas (inkl. Montage);1;Vertex S+ / TRN PV‑Module 440Wp Glas‑Glas, bifazial — Produkt ist Modul (inkl. Montage angegeben, aber Modulcharakter bleibt).;0.99
001Tq000004FKnKIAW;12076672;59359;Photovoltaik;Photovoltaik;16.945;79,5;16;;1.272;GTWp_zm1EAA;;PV-Modul JA Solar 445 W, bifazial, Glas?Glas, Full Black (JAM54D41);PV-Modul JA Solar 445 W, bifazial, Glas‑Glas, Full Black (JAM54D41);;;"<ul><li>
<!--StartFragment--><!--StartFragment-->Gesamtleistung von 7,12 kWp</li><li>JA Solar 445 W</li></ul><ul><li>Bifaziales Glas-Glas Modul</li></ul><ul><li>FullBlack</li></ul><ul><li>(JAM54D41)</li></ul><ul><li>25 Jahre Produkt-Garantie &amp; 30 Jahre Leistungsgarantie (Herstellergarantie)</li></ul><div>
<!--StartFragment--><!--EndFragment-->

</div>";"<ul><li>
Gesamtleistung von 7,12 kWp</li><li>JA Solar 445 W</li></ul><ul><li>Bifaziales Glas-Glas Modul</li></ul><ul><li>FullBlack</li></ul><ul><li>(JAM54D41)</li></ul><ul><li>25 Jahre Produkt-Garantie &amp; 30 Jahre Leistungsgarantie (Herstellergarantie)</li></ul><div>


</div>";PV-Modul;;;;Stk;August 1, 2025, 22:28;product;PV-Modul JA Solar 445 W, bifazial, Glas?Glas, Full Black (JAM54D41);1;JA Solar Modul 445W, bifazial Glas‑Glas, FullBlack — klare Modulbeschreibung mit Wp‑Angabe.;0.99
001Tq000000nNTJIA2;10361850;54918;Photovoltaik;Photovoltaik Residential;19.488,85;110,6;22;;2.433,2;GM5SDjDNUAA;;AIKO Neostar 2S+ Glas-Glas;AIKO Neostar 2S+ Glas-Glas;;;<ul><li>Nennleistung: 455Wp<br />Modulwirkungsgrad: 22,8%</li><li>schwachlichtstarke N-Type Zelle<br /></li><li>Premium antireflektierendes Doppelglasmodul (2 x 2,0mm)</li><li>monokristalline Halbzellen mit All-Back-Contact Technologie</li><li>Leistungsgarantie: 30 Jahre auf 89% der Leistung</li><li>eloxierter Aluminiumrahmen schwarz</li><li>L-B-H: 1757 x 1134 x 30 mm</li></ul><p><b>Brandschutzsichere Glas-Glas Technologie</b></p><p><b>Full Black Optik durch ABC-Zellen</b></p><p><b>Exzellente Schwachlichtperformance</b></p><p><b>Weniger Leistungsreduktion bei Hitze</b></p>;<ul><li>Nennleistung: 460Wp</li><li>Modulwirkungsgrad: 22,8%</li><li>schwachlichtstarke N-Type Zelle<br /></li><li>Premium antireflektierendes Doppelglasmodul (2 x 2,0mm)</li><li>monokristalline Halbzellen mit All-Back-Contact Technologie</li><li>Leistungsgarantie: 30 Jahre auf 89% der Leistung</li><li>eloxierter Aluminiumrahmen schwarz</li><li>L-B-H: 1757 x 1134 x 30 mm</li></ul><p><b>Brandschutzsichere Glas-Glas Technologie</b></p><p><b>Full Black Optik durch ABC-Zellen</b></p><p><b>Exzellente Schwachlichtperformance</b></p><p><b>Weniger Leistungsreduktion bei Hitze</b></p>;Module;;;Trina;Stk;April 11, 2025, 16:09;product;AIKO Neostar 2S+ Glas-Glas;1;AIKO Neostar 2S+ Glas‑Glas Modul (455–460Wp angegeben), ABC‑Technologie, Full‑Black — eindeutig Photovoltaikmodul.;0.99
